"day","probability"
0.25,0.0157637422283919
1,0.059670266062712
2,0.0686112618769846
3,0.0584233084448448
4,0.0608772889335539
5,0.064174379795566
6,0.0497682772939178
7,0.0477553621428268
8,0.0425383536382994
9,0.0381161987840831
10,0.0379568256899031
11,0.0312162405602869
12,0.0312861318769743
13,0.0248612692973517
14,0.0253399957507508
15,0.0243492947754267
16,0.0211386792669108
17,0.0222080366123508
18,0.0215116159534899
19,0.0161848538091631
20,0.0169064965524957
21,0.0148478842857927
22,0.0137696616719068
23,0.01447293420712
24,0.0123953597113297
25,0.0124747375946129
26,0.011027192833193
27,0.0103509588334451
28,0.00807198177276331
29,0.0116259596751903
30,0.00825936870466467
31,0.0113291382637455
32,0.00833560907282857
33,0.00615302699267667
34,0.00845571843460474
35,0.00732375563059072
36,0.00395100805630909
37,0.00440522742811468
38,0.00521700640469084
39,0.00369841129851427
40,0.00491266066568185
41,0.00296242169184906
42,0.00110306306938124
43,0.00344485729214767
44,0.00229986738936113
45,0.00312095533649596
46,0.00113601929068219
47,0.00190693497719361
48,0.000375558442501177
49,0.00316636228557912
50,0.00233294292798012
51,0.0023289702252338
52,0.00113200303723526
53,0.000369939868628771
54,0.000382325753341321
55,0.000389091717986723
56,0.00126261347977838
57,0.000828303276103296
59,0
60,0.00124251027698571
61,0.00081560380873686
62,0.00123498289972286
65,0.000432560811290745
70,0.000484571897265159
72,0.000501519033585758
73,0.000501519033585765
74,0.00049753649678376
75,0.000487660916316676
76,0.00151902325394402
77,0.000498398884453431
84,0.000594658690397478
88,0.000603334145784236
101,0.00230840890560924
107,0
