"day","probability"
0.25,0.0783319432860717
1,0.0934778982485405
2,0.0890408673894912
3,0.0813678065054212
4,0.0780984153461218
5,0.0689574645537948
6,0.0644203502919099
7,0.0580817347789825
8,0.0523769808173478
9,0.0414678899082569
10,0.0346622185154295
11,0.0303919933277731
12,0.026255212677231
13,0.0222185154295246
14,0.0226855713094245
15,0.0197164303586322
16,0.0149457881567973
17,0.0131776480400334
18,0.0110425354462052
19,0.0101084236864053
20,0.00934111759799833
21,0.00914095079232694
22,0.00780650542118432
23,0.00597164303586322
24,0.00527105921601334
25,0.00513761467889908
26,0.00460383653044203
27,0.00417014178482068
28,0.00363636363636364
29,0.00353628023352794
30,0.00256880733944954
31,0.0027022518765638
32,0.00223519599666389
33,0.0019349457881568
34,0.00206839032527106
35,0.00213511259382819
36,0.00166805671392827
37,0.00156797331109258
38,0.00126772310258549
39,0.00120100083402836
40,0.000934111759799833
41,0.000567139282735613
42,0.000533778148457047
43,0.000700583819849875
44,0.00073394495412844
45,0.000567139282735613
46,0.000600500417014179
47,0.000567139282735613
48,0.000567139282735613
49,0.000433694745621351
50,0.000400333611342786
51,0.000233527939949958
52,0.000300250208507089
53,0.00036697247706422
54,0.000300250208507089
55,0.000300250208507089
56,0.000333611342785655
57,0.000233527939949958
58,0.000200166805671393
59,0.000166805671392827
60,0.000200166805671393
61,0.000200166805671393
62,0.000166805671392827
63,0.000200166805671393
64,0.000133444537114262
65,0.000100083402835696
66,0.000233527939949958
67,6.67222685571309e-05
68,6.67222685571309e-05
70,0.000100083402835696
72,0.000100083402835696
75,0.000100083402835696
76,0.000100083402835696
78,6.67222685571309e-05
79,6.67222685571309e-05
81,3.33611342785655e-05
83,3.33611342785655e-05
84,3.33611342785655e-05
88,6.67222685571309e-05
90,3.33611342785655e-05
98,3.33611342785655e-05
102,3.33611342785655e-05
