"day","probability"
1,0.367471551484874
2,0.196225367749098
3,0.139605883985568
4,0.0852067721343325
5,0.0563419372744935
6,0.0405217873993894
7,0.0247016375242853
8,0.012767138495698
9,0.00971412711629198
10,0.0105467665834027
11,0.0108243130724396
12,0.00666111573688593
13,0.00527338329170136
14,0.00333055786844296
15,0.00388565084651679
16,0.00277546489036914
17,0.00222037191229531
18,0.00222037191229531
19,0.00277546489036914
20,0.00222037191229531
21,0.0019428254232584
22,0.000832639467110741
23,0.00138773244518457
24,0.000832639467110741
25,0.000555092978073827
26,0.000555092978073827
27,0.000832639467110741
28,0.000277546489036914
29,0.000277546489036914
30,0.000277546489036914
31,0.000555092978073827
32,0.00111018595614765
33,0.000832639467110741
34,0.000555092978073827
35,0.000555092978073827
36,0.000555092978073827
39,0.000832639467110741
40,0.000555092978073827
41,0.000277546489036914
42,0.000277546489036914
45,0.000277546489036914
46,0.000277546489036914
103,0.000277546489036914
