"day","probability"
0.25,0.467019050938827
0.75,0.00112348469333675
1,0.0249687892832575
1.75,0.000452478197124767
2,0.0434818584532115
2.75,0.000226716130477075
3,0.0526379950837242
3.75,0.000454015675212211
4,0.0526558756944333
4.75,0.000451159268861894
5,0.048667256178315
5.75,0.000673657395174684
6,0.0372232454355569
6.75,0.000674911356390193
7,0.031431651051644
7.75,0.00022524418102693
8,0.0267914037455705
8.75,0.000225257700040434
9,0.0215928368096079
10,0.0206491269904695
11,0.0143692748308265
11.75,0.000227145591308154
12,0.0106784361649249
12.75,0.000228958606641071
13,0.0127380536140338
14,0.0118407967394398
15,0.0105265140918758
15.75,0.000233257156057765
16,0.0086430036156012
16.75,0.000236010848035854
17,0.00664560956959441
18,0.00351642800224273
19,0.00511970036420371
20,0.00388506874216927
21,0.00340880875546165
22,0.00465980442596353
23,0.00281518956555889
24,0.0045456401029181
25,0.00387818284852602
26,0.00278849384743495
27,0.00382788301192401
28,0.00128472929031399
29,0.00173199276841161
30,0.00160534711508975
31,0.00276783515256273
32,0.00247424839285528
32.75,0.000287484029761596
33,0.00123658894943254
34,0.000496631510109511
35,0.000480868820760763
36,0.000869948028338304
37,0.000424533395403212
38,0.00148234952623651
39,0.00188783784710973
40,0.00111178774025839
41,0.00118273844610089
43,0.00164412343761988
44,0.000662944318116779
45,0.00068735819596037
46,0.00106766485796943
52,0.00246243622711781
53,0.000987621503917637
56,0.00258175952014857
57,0.00104797484231061
58,0.000677719993771982
59,0.000736551823869233
61,0.00275256493283303
77,0.0116069072946364
89,0.00732117728197889
