"day","probability"
0.25,0.0676365477207715
1,0.0861067067147233
2,0.0824249126706809
3,0.0758368753607348
4,0.0732272954645273
5,0.0651620503584489
6,0.0614532958222456
7,0.055913752918438
8,0.0509278669324288
9,0.0413245427314145
10,0.0349610730890967
11,0.0308942605885402
12,0.026953490594725
13,0.0230441373133692
14,0.0237448623181322
15,0.0209116298060432
16,0.0160317199231533
17,0.0143042121379795
18,0.0121226497699255
19,0.0112447837443614
20,0.0105167387755977
21,0.0104455703534448
22,0.00905712947643542
23,0.0070294403570477
24,0.00629316716597532
25,0.00625878982193533
26,0.00574066399014052
27,0.00531402776655793
28,0.00489652803990699
29,0.00504566999488403
30,0.00375149204170122
31,0.0040484990454108
32,0.00342767388441712
33,0.00303780864264905
34,0.00331597477114685
35,0.0035131440463853
36,0.00277005715462962
37,0.00265744934234023
38,0.00219359384821824
39,0.00211284954109234
40,0.00166604623311938
41,0.00102420386046045
42,0.000984631246391217
43,0.00131073774893536
44,0.00140291258399978
45,0.00109871839348879
46,0.00118033208265732
47,0.00112357039488791
48,0.00115288092692846
49,0.000898487837507717
50,0.000833626585332599
51,0.000488954054858555
52,0.000632268174386045
53,0.000787082809678115
54,0.000657030428963475
55,0.000661791519028438
56,0.000741068628078714
57,0.000532280597211321
58,0.000456240511895416
59,0.000387804435111105
60,0.000480540278289854
61,0.00048619369332855
62,0.000405161411107125
63,0.000486193693328555
64,0.000334102332851412
65,0.000254753028799205
66,0.000594423733864809
67,0.000173301380135515
68,0.000177068801442803
70,0.000271780020819192
72,0.000271780020819193
75,0.00031424564907219
76,0.000314245649072191
78,0.000217876983356719
79,0.000227780482600206
81,0.000119884464526423
83,0.000119884464526424
84,0.000119884464526424
88,0.000274021633203256
90,0.000149466345383594
98,0.000213523350547992
102,0.000320285025821986
103,0
