"day","probability"
0.25,3.44854037398372e-16
1,0.385836725696176
2,0.218807904441785
3,0.130515676605178
4,0.075444501547258
5,0.054504138862178
6,0.035897773650756
7,0.0222055951769768
8,0.0190492660720312
9,0.00735589607534462
10,0.00949441193716299
11,0.00739483243742088
12,0.00463467495433656
13,0.00377001217744235
14,0.00214399231770275
15,0.00221296869913441
16,0.00191283401247347
17,0.00146326662827889
18,0.00179144207371716
19,0.00187036135562263
20,0.00205883489932849
21,0.0012948421770788
22,0.000756850299572411
23,0.00100943386073309
24,0.000552101214942608
25,0.000271340075313741
26,0.000422252857082346
27,0.000409837182112236
28,0.000529559096156677
29,0.000153068827425983
30,0.000452047590865986
31,0.00033400704212444
32,0.000836297097719237
33,0.000652411239700576
34,0.000358394287304979
35,0.000522570476467574
36,0.000574860738605318
37,0
38,1.01031456269054e-18
39,0.000636721014651326
40,0.000304456102149417
41,0.000165492939122515
42,0.000180888965878268
43,0
44,0.000218333865842574
45,0.000234158915489633
46,0.000262249830586433
47,1.68385760448424e-19
48,0
49,0
50,1.68385760448424e-19
51,8.41928802242119e-20
52,0
53,1.68385760448424e-19
54,0
55,8.41928802242119e-20
56,0
57,0
58,0
59,2.52578640672636e-19
60,0
61,0.000502714682769132
62,0
63,0
64,0
65,0
66,0
67,0
68,0
70,0
72,0
75,0
76,0
78,0
79,0
81,0
83,0
84,0
88,0
90,0
98,0
102,0
103,0
