"date","geography","value_type","value"
2020-03-24,"London","hospital_prev",1705
2020-03-24,"London","icu_prev",NA
2020-03-24,"Midlands","hospital_prev",584
2020-03-24,"Midlands","icu_prev",NA
2020-03-24,"North East and Yorkshire","hospital_prev",229
2020-03-24,"North East and Yorkshire","icu_prev",NA
2020-03-24,"North West","hospital_prev",251
2020-03-24,"North West","icu_prev",NA
2020-03-24,"South East","hospital_prev",506
2020-03-24,"South East","icu_prev",NA
2020-03-24,"South West","hospital_prev",169
2020-03-24,"South West","icu_prev",NA
2020-03-25,"East of England","hospital_inc",76
2020-03-25,"England","hospital_inc",1755
2020-03-25,"London","hospital_inc",675
2020-03-25,"Midlands","hospital_inc",422
2020-03-25,"North East and Yorkshire","hospital_inc",160
2020-03-25,"North West","hospital_inc",187
2020-03-25,"South East","hospital_inc",141
2020-03-25,"South West","hospital_inc",94
2020-03-25,"East of England","hospital_prev",196
2020-03-25,"East of England","icu_prev",NA
2020-03-25,"England","hospital_prev",4402
2020-03-25,"England","icu_prev",NA
2020-03-25,"London","hospital_prev",2051
2020-03-25,"London","icu_prev",NA
2020-03-25,"Midlands","hospital_prev",691
2020-03-25,"Midlands","icu_prev",NA
2020-03-25,"North East and Yorkshire","hospital_prev",312
2020-03-25,"North East and Yorkshire","icu_prev",NA
2020-03-25,"North West","hospital_prev",332
2020-03-25,"North West","icu_prev",NA
2020-03-25,"South East","hospital_prev",610
2020-03-25,"South East","icu_prev",NA
2020-03-25,"South West","hospital_prev",210
2020-03-25,"South West","icu_prev",NA
2020-03-26,"East of England","hospital_inc",160
2020-03-26,"England","hospital_inc",1639
2020-03-26,"London","hospital_inc",519
2020-03-26,"Midlands","hospital_inc",356
2020-03-26,"North East and Yorkshire","hospital_inc",196
2020-03-26,"North West","hospital_inc",184
2020-03-26,"South East","hospital_inc",138
2020-03-26,"South West","hospital_inc",86
2020-03-26,"East of England","hospital_prev",295
2020-03-26,"East of England","icu_prev",NA
2020-03-26,"England","hospital_prev",5226
2020-03-26,"England","icu_prev",NA
2020-03-26,"London","hospital_prev",2244
2020-03-26,"London","icu_prev",NA
2020-03-26,"Midlands","hospital_prev",970
2020-03-26,"Midlands","icu_prev",NA
2020-03-26,"North East and Yorkshire","hospital_prev",434
2020-03-26,"North East and Yorkshire","icu_prev",NA
2020-03-26,"North West","hospital_prev",381
2020-03-26,"North West","icu_prev",NA
2020-03-26,"South East","hospital_prev",654
2020-03-26,"South East","icu_prev",NA
2020-03-26,"South West","hospital_prev",248
2020-03-26,"South West","icu_prev",NA
2020-03-27,"East of England","hospital_inc",94
2020-03-27,"England","hospital_inc",1931
2020-03-27,"London","hospital_inc",639
2020-03-27,"Midlands","hospital_inc",404
2020-03-27,"North East and Yorkshire","hospital_inc",240
2020-03-27,"North West","hospital_inc",219
2020-03-27,"South East","hospital_inc",230
2020-03-27,"South West","hospital_inc",105
2020-03-27,"East of England","hospital_prev",341
2020-03-27,"East of England","icu_prev",NA
2020-03-27,"England","hospital_prev",6462
2020-03-27,"England","icu_prev",NA
2020-03-27,"London","hospital_prev",2829
2020-03-27,"London","icu_prev",NA
2020-03-27,"Midlands","hospital_prev",1064
2020-03-27,"Midlands","icu_prev",NA
2020-03-27,"North East and Yorkshire","hospital_prev",552
2020-03-27,"North East and Yorkshire","icu_prev",NA
2020-03-27,"North West","hospital_prev",553
2020-03-27,"North West","icu_prev",NA
2020-03-27,"South East","hospital_prev",800
2020-03-27,"South East","icu_prev",NA
2020-03-27,"South West","hospital_prev",323
2020-03-27,"South West","icu_prev",NA
2020-03-28,"East of England","hospital_inc",124
2020-03-28,"England","hospital_inc",1873
2020-03-28,"London","hospital_inc",551
2020-03-28,"Midlands","hospital_inc",350
2020-03-28,"North East and Yorkshire","hospital_inc",258
2020-03-28,"North West","hospital_inc",210
2020-03-28,"South East","hospital_inc",250
2020-03-28,"South West","hospital_inc",130
2020-03-28,"East of England","hospital_prev",429
2020-03-28,"East of England","icu_prev",NA
2020-03-28,"England","hospital_prev",7269
2020-03-28,"England","icu_prev",NA
2020-03-28,"London","hospital_prev",3114
2020-03-28,"London","icu_prev",NA
2020-03-28,"Midlands","hospital_prev",1138
2020-03-28,"Midlands","icu_prev",NA
2020-03-28,"North East and Yorkshire","hospital_prev",701
2020-03-28,"North East and Yorkshire","icu_prev",NA
2020-03-28,"North West","hospital_prev",665
2020-03-28,"North West","icu_prev",NA
2020-03-28,"South East","hospital_prev",861
2020-03-28,"South East","icu_prev",NA
2020-03-28,"South West","hospital_prev",361
2020-03-28,"South West","icu_prev",NA
2020-03-29,"East of England","hospital_inc",201
2020-03-29,"England","hospital_inc",2186
2020-03-29,"London","hospital_inc",672
2020-03-29,"Midlands","hospital_inc",481
2020-03-29,"North East and Yorkshire","hospital_inc",254
2020-03-29,"North West","hospital_inc",198
2020-03-29,"South East","hospital_inc",273
2020-03-29,"South West","hospital_inc",107
2020-03-29,"East of England","hospital_prev",482
2020-03-29,"East of England","icu_prev",NA
2020-03-29,"England","hospital_prev",8424
