"n","step1_los","step1_sd","step2_los","step2_sd","step3_los","step3_sd","total_los","total_sd","dsterm","pathway"
529,10.56736,11.8784670143157,NA,NA,NA,NA,10.592795,11.8829130424403,0,"Bed CC"
2880,13.5307875,13.1909718755759,6.2174975,12.6485508190018,NA,NA,19.877645,18.4489861281011,0,"Bed CC, Bed Ward"
35164,9.102085,10.2660976680718,NA,NA,NA,NA,9.0346925,10.1119801264077,0,"Bed Ward"
347,3.25288,4.26001563177083,8.30416,12.5636711455182,NA,NA,11.591065,13.236670484311,0,"Bed Ward, Bed CC"
4060,3.91528,6.08440076925635,11.8010925,11.7625253454124,6.868675,13.9103534273468,22.5297175,19.1302191806067,0,"Bed Ward, Bed CC, Bed Ward"
