"n","total_los","total_sd","dsterm","bedtype"
6539,12.3096192078299,12.4715520540618,0,"CC"
39885,8.36477692431217,10.5257321519008,0,"Ward"
36514,11.1726440543353,13.0638237794853,1,"Total"
