org_code,trustname,nat_group,geog_code,add_1,add_2,add_3,add_4,add_5,postcode,open_date,close_date,gor_code,ignore1,ingore2,nhs_region
r1d,shropshire_community_health_nhs_trust,y55,q76,william_farr_house,mytton_oak_road,,shrewsbury,shropshire,sy38xl,20110701,NA,e,Q76,05N,midlands
r1c,solent_nhs_trust,y57,q70,solent_nhs_trust_headquarters,highpoint_venue,bursledon_road,southampton,hampshire,so198br,20110401,NA,j,Q87,10X,south_east
rh5,somerset_nhs_foundation_trust,y57,q80,2nd_floor,mallard_court,express_park_bristol_road,bridgwater,somerset,ta64rn,19930401,NA,k,Q85,11X,south_west
rye,south_central_ambulance_service_nhs_foundation_trust,y57,q82,7_8_talisman_road,,,bicester,oxfordshire,ox266hr,20060701,NA,j,Q87,10Q,south_east
ryd,south_east_coast_ambulance_service_nhs_foundation_trust,y57,q81,40_42_friars_walk,,,lewes,east_sussex,bn72xw,20060701,NA,j,Q88,99K,south_east
rwn,south_essex_partnership_university_nhs_foundation_trust,y55,q79,the_lodge_runwell_hospital,runwell_chase,runwell,wickford,essex,ss117xx,20000401,NA,g,Q79,06Q,east_of_england
rv5,south_london_and_maudsley_nhs_foundation_trust,y56,q71,maudsley_hospital,denmark_hill,,london,greater_london,se58az,19990401,NA,h,Q71,08Q,london
rre,south_staffordshire_and_shropshire_healthcare_nhs_foundation_trust,y55,q76,trust_headquarters,st_georges_hospital,corporation_street,stafford,staffordshire,st163sr,20010401,NA,e,Q76,05V,midlands
rtr,south_tees_hospitals_nhs_foundation_trust,y54,q74,james_cook_university_hospital,marton_road,,middlesbrough,cleveland,ts43bw,20020401,NA,a,Q74,00M,north_east_and_yorkshire
re9,south_tyneside_and_sunderland_nhs_foundation_trust,y54,q74,south_tyneside_district_hospital,harton_lane,,south_shields,tyne_and_wear,ne340pl,19930401,NA,a,Q74,00N,north_east_and_yorkshire
rjc,south_warwickshire_nhs_foundation_trust,y55,q77,warwick_hospital,lakin_road,,warwick,warwickshire,cv345bw,19930401,NA,f,Q77,05R,midlands
rqy,south_west_london_and_st_george_s_mental_health_nhs_trust,y56,q71,springfield_hospital,61_glenburnie_road,,london,greater_london,sw177dj,19950401,NA,h,Q71,08X,london
rxg,south_west_yorkshire_partnership_nhs_foundation_trust,y54,q72,trust_headquarters,fieldhead,ouchthorpe_lane,wakefield,west_yorkshire,wf13sp,20020401,NA,d,Q72,03R,north_east_and_yorkshire
ryf,south_western_ambulance_service_nhs_foundation_trust,y57,q80,westcountry_house,abbey_court_eagle_way,sowton_industrial_estate,exeter,devon,ex27hy,20060701,NA,k,Q85,15N,south_west
raj,southend_university_hospital_nhs_foundation_trust,y55,q79,prittlewell_chase,,,westcliff_on_sea,essex,ss00ry,19910401,NA,g,Q79,99G,east_of_england
rw1,southern_health_nhs_foundation_trust,y57,q70,maples_buildings,tatchbury_mount_hospital,calmore,southampton,hampshire,so402rz,20010401,NA,j,Q87,11A,south_east
rvy,southport_and_ormskirk_hospital_nhs_trust,y54,q75,town_lane,,,southport,merseyside,pr86pn,19990401,NA,b,Q75,01V,north_west
rj7,st_george_s_university_hospitals_nhs_foundation_trust,y56,q71,st_george_s_hospital,blackshaw_road,tooting,london,greater_london,sw170qt,19930401,NA,h,Q71,08X,london
rbn,st_helens_and_knowsley_teaching_hospitals_nhs_trust,y54,q75,whiston_hospital,warrington_road,,prescot,merseyside,l355dr,19910401,NA,b,Q75,01J,north_west
r1e,staffordshire_and_stoke_on_trent_partnership_nhs_trust,y55,q76,2nd_floor_morston_house,,,newcastle_under_lyme,staffordshire,st51qg,20110901,NA,e,Q76,05G,midlands
rwj,stockport_nhs_foundation_trust,y54,q83,stepping_hill_hospital,poplar_grove,,stockport,cheshire,sk27je,20000401,NA,b,Q83,01W,north_west
rxx,surrey_and_borders_partnership_nhs_foundation_trust,y57,q81,18_mole_business_park,randalls_road,,leatherhead,surrey,kt227ad,20050401,NA,j,Q88,99H,south_east
rtp,surrey_and_sussex_healthcare_nhs_trust,y57,q81,east_surrey_hospital,canada_avenue,,redhill,surrey,rh15rh,19980401,NA,j,Q88,09L,south_east
rdr,sussex_community_nhs_foundation_trust,y57,q81,brighton_general_hospital,elm_grove,,brighton,east_sussex,bn23ew,19920401,NA,j,Q88,09D,south_east
rx2,sussex_partnership_nhs_foundation_trust,y57,q81,assessment_and_treatment_centre,chapel_street,,chichester,west_sussex,po191bx,20060401,NA,j,Q88,09G,south_east
rmp,tameside_and_glossop_integrated_care_nhs_foundation_trust,y54,q83,tameside_general_hospital,fountain_street,,ashton_under_lyne,lancashire,ol69rw,19940401,NA,b,Q83,01Y,north_west
rba,taunton_and_somerset_nhs_foundation_trust,y57,q80,musgrove_park_hospital,,,taunton,somerset,ta15da,19910401,NA,k,Q85,11X,south_west
rnk,tavistock_and_portman_nhs_foundation_trust,y56,q71,the_tavistock_centre,120_belsize_lane,,london,greater_london,nw35ba,19940401,NA,h,Q71,07R,london
rx3,tees_esk_and_wear_valleys_nhs_foundation_trust,y54,q74,trust_headquarters,west_park_hospital,edward_pease_way,darlington,county_durham,dl22ts,20060401,NA,a,Q74,00C,north_east_and_yorkshire
rbv,the_christie_nhs_foundation_trust,y54,q83,550_wilmslow_road,withington,,manchester,greater_manchester,m204bx,19910401,NA,b,Q83,14L,north_west
ren,the_clatterbridge_cancer_centre_nhs_foundation_trust,y54,q75,clatterbridge_road,,bebington,wirral,merseyside,ch634jy,19920401,NA,b,Q75,12F,north_west
rna,the_dudley_group_nhs_foundation_trust,y55,q77,c_block,russells_hall_hospital,pensnett_road,dudley,west_midlands,dy12hq,19940401,NA,f,Q77,05C,midlands
ras,the_hillingdon_hospitals_nhs_foundation_trust,y56,q71,pield_heath_road,,,uxbridge,middlesex,ub83nn,19910401,NA,h,Q71,08G,london
rtd,the_newcastle_upon_tyne_hospitals_nhs_foundation_trust,y54,q74,freeman_hospital,freeman_road,high_heaton,newcastle_upon_tyne,tyne_and_wear,ne77dn,19980401,NA,a,Q74,13T,north_east_and_yorkshire
rqw,the_princess_alexandra_hospital_nhs_trust,y55,q79,hamstel_road,,,harlow,essex,cm201qx,19950401,NA,g,Q79,07H,east_of_england
rcx,the_queen_elizabeth_hospital_king_s_lynn_nhs_foundation_trust,y55,q79,queen_elizabeth_hospital,gayton_road,,kings_lynn,norfolk,pe304et,19920401,NA,g,Q79,07J,east_of_england
rl1,the_robert_jones_and_agnes_hunt_orthopaedic_hospital_nhs_foundation_trust,y55,q76,gobowen,,,oswestry,shropshire,sy107ag,19940401,NA,e,Q76,05N,midlands
