"","n","total_los","total_sd","dsterm","bedtype"
"1","1762",8.11804767309875,6.8877363501753,"0","CC"
"2","818",7.33251833740831,6.51028327069239,"1","CC"
"3","944",8.79872881355932,7.13256972446944,"4","CC"
"4","15914",9.2269699635541,10.0157175056381,"0","ward"
"5","10623",8.88195425021181,9.4028541931164,"1","ward"
"6","5291",9.91967491967492,11.1135474969128,"4","ward"
