"Ward","CC","region"
"6.19268922044238","8.50057760264206","East of England"
"5.9720123940352","12.5835921350013","London"
"6.28927646888191","8.51306570821801","Midlands"
"7.04044536104651","8.18964661702899","North East and Yorkshire"
"7.88523779218747","8.6755437213854","North West"
"6.4400638548444","8.510869670053","South East"
"5.75488956576611","8.55936612606342","South West"
"6.5807317919964","9.38621857642331","England"
